,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2007-10-05,19-316,WSH,ATL,W,0,1,1,-1,0,0,0,0,0,,,,0,,17,14:45,0,0,0,
1,2007-10-06,19-317,WSH,CAR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,15,13:09,1,0,0,
2,2007-10-08,19-319,WSH,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,15,13:35,0,1,0,100.0
3,2007-10-12,19-323,WSH,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,18,14:42,0,0,3,0.0
4,2007-10-13,19-324,WSH,BUF,L,0,1,1,0,0,0,0,0,0,,,,0,,14,10:35,0,0,1,0.0
5,2007-10-18,19-329,WSH,NYI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,14:04,0,1,1,50.0
6,2007-10-20,19-331,WSH,PIT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,19,15:16,1,0,0,
7,2007-10-24,19-335,WSH,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,15:57,1,1,3,25.0
8,2007-10-26,19-337,WSH,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,13:02,0,1,0,100.0
9,2007-10-27,19-338,WSH,STL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,18,13:40,0,5,4,55.6
10,2007-10-29,19-340,WSH,TOR,W,0,0,0,1,0,0,0,0,0,,,,0,,14,10:32,0,0,0,
11,2007-11-01,19-343,WSH,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,15:09,0,0,1,0.0
12,2007-11-02,19-344,WSH,PHI,L,0,1,1,1,0,0,0,0,0,,,,0,,18,14:23,1,1,1,50.0
13,2007-11-05,19-347,WSH,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,16:58,1,0,4,0.0
14,2007-11-06,19-348,WSH,ATL,L-OT,0,1,1,-2,0,0,0,0,0,,,,3,0.0,19,17:17,1,0,3,0.0
15,2007-11-08,19-350,WSH,OTT,W,1,0,1,1,0,0,1,0,1,,,,2,50.0,26,21:50,0,2,6,25.0
16,2007-11-10,19-352,WSH,TBL,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,24,22:10,1,3,7,30.0
17,2007-11-15,19-357,WSH,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,20,18:01,0,3,4,42.9
18,2007-11-16,19-358,WSH,TBL,L,0,1,1,1,2,0,0,0,0,,,,2,0.0,25,22:09,1,9,9,50.0
19,2007-11-19,19-361,WSH,FLA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,19:24,1,6,3,66.7
20,2007-11-21,19-363,WSH,ATL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,16:55,0,5,6,45.5
21,2007-11-23,20-000,WSH,PHI,W,1,2,3,2,0,1,0,0,1,,,,2,50.0,16,13:45,0,3,3,50.0
22,2007-11-24,20-001,WSH,CAR,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,17,14:59,0,2,4,33.3
23,2007-11-26,20-003,WSH,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,19:25,0,3,3,50.0
24,2007-11-28,20-005,WSH,FLA,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,19:07,1,0,8,0.0
25,2007-11-30,20-007,WSH,CAR,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,18,20:43,1,5,1,83.3
26,2007-12-01,20-008,WSH,FLA,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,15,14:05,0,5,5,50.0
27,2007-12-07,20-014,WSH,NJD,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,18,22:09,0,6,9,40.0
28,2007-12-08,20-015,WSH,ATL,W,1,2,3,3,0,1,0,0,0,,,,1,100.0,19,19:13,0,7,7,50.0
29,2007-12-10,20-017,WSH,NJD,W,1,0,1,1,0,0,1,0,0,,,,2,50.0,22,22:17,1,9,10,47.4
30,2007-12-12,20-019,WSH,NYR,W,0,0,0,1,2,0,0,0,0,,,,0,,19,22:14,0,6,10,37.5
31,2007-12-14,20-021,WSH,BUF,L,1,1,2,-2,0,1,0,0,0,,,,2,50.0,19,20:26,1,2,7,22.2
32,2007-12-15,20-022,WSH,TBL,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,19,19:54,0,1,3,25.0
33,2007-12-17,20-024,WSH,DET,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,23:10,2,6,8,42.9
34,2007-12-20,20-027,WSH,MTL,L,1,1,2,-1,0,0,1,0,0,,,,2,50.0,21,19:34,0,6,10,37.5
