,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-11-02,22-177,WPG,CHI,L,0,0,0,-3,0,0,0,0,0,,,,0,,15,10:47,3,0,0,
1,2014-12-03,23-208,WPG,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,21:20,4,0,0,
2,2014-12-05,23-210,WPG,COL,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,21,18:39,0,0,0,
3,2014-12-07,23-212,WPG,ANA,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,25,20:39,1,0,0,
4,2014-12-09,23-214,WPG,DAL,W,0,1,1,2,2,0,0,0,0,1,0,0,0,,28,20:42,1,0,0,
5,2014-12-11,23-216,WPG,COL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,30,20:11,2,0,0,
6,2014-12-13,23-218,WPG,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:57,2,0,0,
7,2014-12-16,23-221,WPG,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,18:21,1,0,0,
8,2014-12-19,23-224,WPG,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:30,0,0,0,
9,2014-12-21,23-226,WPG,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,20:17,5,0,0,
10,2014-12-23,23-228,WPG,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:43,3,0,0,
11,2014-12-27,23-232,WPG,MIN,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,17:03,1,0,0,
12,2014-12-29,23-234,WPG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:30,2,0,0,
13,2014-12-31,23-236,WPG,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,13:50,1,0,0,
14,2015-01-03,23-239,WPG,TOR,W,1,1,2,4,0,1,0,0,0,1,0,0,2,50.0,22,16:26,0,0,0,
15,2015-01-05,23-241,WPG,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,21:15,4,0,0,
16,2015-01-08,23-244,WPG,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,15:11,4,0,0,
17,2015-01-10,23-246,WPG,LAK,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,31,24:00,4,0,0,
18,2015-01-11,23-247,WPG,ANA,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,22:39,0,0,0,
19,2015-01-13,23-249,WPG,FLA,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,22,19:23,0,0,0,
20,2015-01-15,23-251,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:37,2,0,0,
21,2015-01-16,23-252,WPG,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,26,22:44,3,0,0,
22,2015-01-18,23-254,WPG,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,20:29,4,0,0,
23,2015-01-21,23-257,WPG,CBJ,W,0,0,0,3,0,0,0,0,0,0,0,0,0,,20,14:06,2,0,0,
24,2015-01-27,23-263,WPG,PIT,L,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,21,15:47,1,0,0,
25,2015-01-29,23-265,WPG,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:19,3,0,0,
26,2015-01-31,23-267,WPG,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,22,17:06,1,0,0,
27,2015-02-02,23-269,WPG,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,14:34,1,0,0,
28,2015-02-03,23-270,WPG,VAN,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,0,,11,6:41,2,0,0,
29,2015-02-06,23-273,WPG,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:03,1,0,0,
30,2015-02-08,23-275,WPG,COL,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,15,13:01,2,0,0,
31,2015-02-10,23-277,WPG,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:03,1,0,0,
32,2015-02-12,23-279,WPG,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,10:54,1,0,0,
33,2015-02-14,23-281,WPG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:45,0,0,0,
34,2015-02-16,23-283,WPG,EDM,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,17:37,0,0,0,
35,2015-02-19,23-286,WPG,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:40,3,0,0,
36,2015-02-21,23-288,WPG,TOR,L-OT,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,11,8:17,1,0,0,
37,2015-04-06,23-332,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:52,0,0,0,
38,2015-04-07,23-333,WPG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,18:30,5,0,0,
39,2015-04-09,23-335,WPG,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,21:00,1,0,0,
40,2015-04-11,23-337,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,19:14,2,0,0,
41,2015-10-08,24-152,WPG,BOS,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,23,20:36,5,0,0,
42,2015-10-09,24-153,WPG,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:16,1,0,0,
43,2015-10-12,24-156,WPG,NYI,L,0,0,0,1,4,0,0,0,0,0,0,0,0,,16,13:37,6,0,0,
44,2015-10-23,24-167,WPG,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:58,3,0,0,
45,2015-10-25,24-169,WPG,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,19:49,2,0,0,
46,2015-10-27,24-171,WPG,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,18:20,3,0,0,
47,2015-10-29,24-173,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:37,3,0,0,
48,2015-10-31,24-175,WPG,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:01,1,0,0,
49,2015-11-01,24-176,WPG,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,16:21,2,0,0,
50,2015-11-04,24-179,WPG,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:08,3,0,0,
51,2015-11-05,24-180,WPG,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,10:47,1,0,0,
52,2015-11-12,24-187,WPG,DAL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,13:50,2,0,0,
53,2015-11-14,24-189,WPG,NSH,L,0,0,0,-2,12,0,0,0,0,0,0,0,0,,13,10:05,1,0,0,
54,2015-12-02,24-207,WPG,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,14:10,1,0,0,
55,2015-12-05,24-210,WPG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:34,0,0,0,
56,2015-12-06,24-211,WPG,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,13:11,0,0,0,
57,2015-12-10,24-215,WPG,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,16:45,2,0,0,
58,2015-12-11,24-216,WPG,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,10,8:09,2,0,0,
59,2015-12-15,24-220,WPG,STL,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,15:15,1,0,0,
60,2015-12-18,24-223,WPG,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:46,0,0,0,
61,2015-12-21,24-226,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:51,0,0,0,
62,2015-12-22,24-227,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:00,0,0,0,
63,2015-12-27,24-232,WPG,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:56,0,0,0,
64,2015-12-29,24-234,WPG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:57,1,0,0,
65,2015-12-31,24-236,WPG,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,10:01,7,0,0,
66,2016-01-02,24-238,WPG,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,9:35,2,0,0,
67,2016-01-03,24-239,WPG,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,13:21,2,0,0,
68,2016-01-05,24-241,WPG,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,11:17,2,0,0,
69,2016-01-07,24-243,WPG,DAL,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,11:21,3,0,0,
70,2016-01-10,24-246,WPG,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,17,12:46,4,0,0,
71,2016-01-12,24-248,WPG,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:51,0,0,0,
72,2016-01-14,24-250,WPG,NSH,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,12,9:36,1,0,0,
73,2016-01-15,24-251,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:09,2,0,0,
74,2016-01-18,24-254,WPG,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:07,1,0,0,
75,2016-01-21,24-257,WPG,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:41,2,0,0,
76,2016-01-23,24-259,WPG,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:53,3,0,0,
77,2016-01-26,24-262,WPG,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,16:31,3,0,0,
78,2016-02-02,24-269,WPG,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:30,0,0,0,
79,2016-02-05,24-272,WPG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:20,6,0,0,
80,2016-02-06,24-273,WPG,COL,W,0,0,0,2,0,0,0,0,0,0,0,0,5,0.0,27,18:09,2,0,0,
81,2016-02-09,24-276,WPG,STL,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,19,14:43,2,0,0,
82,2016-02-11,24-278,WPG,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,18:31,1,0,0,
83,2016-02-13,24-280,WPG,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:40,2,0,0,
84,2016-02-16,24-283,WPG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:46,2,0,0,
85,2016-02-18,24-285,WPG,TBL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,10:37,1,0,0,
86,2016-02-20,24-287,WPG,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:13,4,0,0,
87,2016-02-23,24-290,WPG,DAL,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,13,10:02,3,0,0,
88,2016-02-25,24-292,WPG,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,18:09,4,0,0,
89,2016-02-27,24-294,WPG,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,17,14:26,4,0,0,
90,2016-03-01,24-297,WPG,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,14:03,2,0,0,
91,2016-03-03,24-299,WPG,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:11,1,0,0,
92,2016-03-05,24-301,WPG,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,20,15:22,5,0,0,
93,2016-03-06,24-302,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,12:33,0,0,0,
94,2016-03-08,24-304,WPG,NSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,14,8:55,2,0,0,
95,2016-03-10,24-306,WPG,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11:18,1,0,0,
96,2016-03-12,24-308,WPG,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,8:31,1,0,0,
97,2016-03-14,24-310,WPG,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,16:32,0,0,0,
98,2016-03-16,24-312,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:56,1,0,0,
99,2016-03-18,24-314,WPG,CHI,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,17,12:44,0,0,0,
100,2016-03-20,24-316,WPG,ANA,L-OT,0,1,1,2,2,0,0,0,0,1,0,0,0,,14,11:36,3,0,0,
101,2016-03-22,24-318,WPG,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,18:16,0,0,0,
102,2016-03-24,24-320,WPG,LAK,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,24,17:40,0,0,0,
103,2016-03-26,24-322,WPG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,23:22,1,0,0,
104,2016-03-28,24-324,WPG,PHI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,20:07,4,0,0,
105,2016-03-30,24-326,WPG,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,20:37,1,0,0,
106,2016-04-01,24-328,WPG,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,21:18,1,0,0,
107,2016-04-03,24-330,WPG,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,22:18,1,0,0,
108,2016-04-05,24-332,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,20:49,1,0,0,
109,2016-04-07,24-334,WPG,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,20:21,1,0,0,
110,2016-04-09,24-336,WPG,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,23:20,1,0,0,
111,2016-10-13,25-157,WPG,CAR,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,15:08,1,0,0,
112,2016-10-17,25-161,WPG,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:34,3,0,0,
113,2016-10-19,25-163,WPG,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:53,0,0,0,
114,2016-10-23,25-167,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:57,0,0,0,
115,2016-10-25,25-169,WPG,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:44,0,0,0,
116,2016-10-27,25-171,WPG,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,12:25,1,0,0,
117,2016-10-28,25-172,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:09,1,0,0,
118,2016-10-30,25-174,WPG,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:17,2,0,0,
119,2016-11-01,25-176,WPG,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,16:19,3,0,0,
120,2016-11-03,25-178,WPG,WSH,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,17:56,2,0,0,
121,2016-11-04,25-179,WPG,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:32,2,0,0,
122,2016-11-06,25-181,WPG,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,19,15:33,1,0,0,
123,2016-11-08,25-183,WPG,DAL,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,24,17:57,1,0,0,
124,2016-11-10,25-185,WPG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:26,1,0,0,
125,2016-11-11,25-186,WPG,COL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,13:47,1,0,0,
126,2016-11-13,25-188,WPG,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,10:09,2,0,0,
127,2016-11-15,25-190,WPG,CHI,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,21,15:14,0,0,0,
128,2016-11-17,25-192,WPG,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:22,2,0,0,
129,2016-11-19,25-194,WPG,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,19:11,1,0,0,
130,2016-11-20,25-195,WPG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:24,3,0,0,
